"Gross national income (GNI) per capita (2011 PPP$)"
"HDI Rank (2015)","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015",""
"96"," Dominica","6562","","6684","","6884","","6891","","6864","","7030","","7102","","7403","","7773","","7558","","7319","","7729","","7476","","8074","","7844","","7878","","8593","","9028","","9806","","9833","","9980","","9973","","9575","","10098","","9871","","10096",""
"99"," Dominican Republic","5081","","5058","","5477","","5660","","5723","","5929","","6296","","6679","","7018","","7349","","7664","","7675","","8004","","7661","","7482","","8333","","9144","","9834","","10151","","10101","","10929","","10949","","11079","","11350","","12012","","12756",""
"89"," Ecuador","6887","","7118","","7200","","7256","","7428","","7459","","7408","","7601","","7662","","6993","","6854","","7176","","7413","","7470","","7924","","8252","","8503","","8539","","9068","","9001","","9215","","9769","","10170","","10471","","10680","","10536",""
"111"," Egypt","5869","","5887","","6030","","6054","","6239","","6437","","6672","","6942","","7106","","7384","","7629","","7768","","7729","","7810","","7969","","8175","","8650","","9141","","9617","","9810","","9906","","9813","","9834","","9791","","9807","","10064",""
"117"," El Salvador","4412","","4509","","4829","","5127","","5397","","5686","","5718","","5891","","6071","","6178","","6296","","6366","","6460","","6540","","6631","","6843","","7125","","7383","","7492","","7174","","7266","","7394","","7428","","7518","","7586","","7732",""
"135"," Equatorial Guinea","1466","","1428","","1886","","1988","","1981","","2120","","3364","","8618","","9752","","12464","","13116","","18243","","23064","","20408","","24479","","24479","","37524","","39556","","33817","","29357","","20649","","20695","","21385","","18145","","16944","","21517",""
"179"," Eritrea","886","","984","","1095","","1246","","1512","","1567","","1652","","1762","","1770","","1728","","1611","","1688","","1669","","1562","","1526","","1528","","1476","","1464","","1290","","1312","","1312","","1398","","1449","","1445","","1469","","1490",""
"30"," Estonia","14617","","13590","","11186","","10302","","10372","","11145","","11853","","12942","","13710","","13570","","14771","","15669","","16727","","17930","","19244","","21375","","23388","","24839","","23921","","20953","","21049","","22760","","24304","","25253","","25924","","26362",""
"174"," Ethiopia","649","","581","","510","","554","","554","","571","","631","","630","","587","","600","","617","","649","","640","","609","","672","","734","","791","","860","","927","","980","","1074","","1163","","1231","","1327","","1427","","1523",""
"91"," Fiji","5732","","5725","","5668","","5610","","5735","","5911","","6283","","6158","","6076","","6562","","6706","","7130","","7303","","7454","","8015","","7269","","7244","","7175","","7336","","7202","","7197","","7260","","7290","","7698","","8023","","8245",""
"23"," Finland","27855","","25852","","24586","","24126","","25254","","26453","","27533","","29410","","30777","","32397","","34291","","35313","","35947","","36237","","38059","","38867","","40499","","42152","","42203","","38952","","39960","","40434","","39694","","39146","","38829","","38868",""
"21"," France","29556","","29829","","30215","","29933","","30458","","30971","","31440","","32170","","33212","","34407","","35431","","35836","","35699","","35821","","36621","","37035","","37746","","38427","","38306","","36868","","37499","","38185","","37743","","37837","","37827","","38085",""
"109"," Gabon","19299","","20018","","18467","","18538","","19214","","19456","","19430","","20048","","20814","","18107","","16127","","16990","","17196","","16834","","15547","","16531","","14802","","15038","","13956","","14779","","14704","","14754","","16271","","17087","","18870","","19044",""
"173"," Gambia","1383","","1459","","1467","","1470","","1434","","1414","","1408","","1417","","1423","","1465","","1498","","1526","","1410","","1483","","1538","","1468","","1428","","1435","","1502","","1590","","1641","","1506","","1538","","1553","","1517","","1541",""
"70"," Georgia","7561","","5994","","3591","","2391","","2199","","2264","","2553","","3035","","3219","","3348","","3407","","3517","","3753","","4209","","4553","","5027","","5599","","6249","","6363","","6205","","6530","","7101","","7810","","8098","","8670","","8856",""
"4"," Germany","31975","","33185","","33517","","32922","","33389","","33791","","34005","","34512","","35058","","35667","","36743","","37237","","37037","","36864","","37914","","38273","","40060","","41319","","41635","","39904","","41477","","43206","","44058","","43187","","44483","","45000",""
